k,time,ari,homogeneity,completeness,silhouette,aic,bic
30,9.35078548970435,0.016034809262844753,0.17025411128756227,0.03724628583464869,0.05743218922558062,26867.069830669832,39444.18558498845
31,10.898746031354165,0.019267187019819356,0.198112592554471,0.0436102557964395,0.06278167742511832,27014.10897676735,40010.64116068702
32,10.61202537753232,0.021451811298817253,0.17566854816137517,0.03827420236351507,0.07051239653699141,26338.943658097764,39754.892271618475
33,13.17343707570393,0.01664109396770189,0.16653370316158167,0.03572225468595476,0.06621143248300528,26350.531974030833,40185.8970171526
34,11.092977961532313,0.014241326581037134,0.17556446237776782,0.03725073406266712,0.0782739365108343,26559.991801656797,40814.77327437961
35,9.01882251404794,0.01766397947370498,0.19831276236526826,0.042187925521442446,0.05219320794297345,26101.06327685684,40775.2611791807
36,11.634349821761589,0.017113879848388417,0.17874747079690034,0.03801138527615584,0.07093419438966565,25037.954936349197,40131.56926827411
37,11.834800138628111,0.015348638029685512,0.19020223139848041,0.03910584255833597,0.07511096146784473,25202.70421526942,40715.73497679538
38,12.206524753481489,0.015877508701143933,0.19434540855542046,0.04016278666864509,0.0788262171134503,24634.726855785786,40567.17404691279
39,12.668922525685787,0.014328047639477598,0.2017036301172692,0.0409271184621367,0.06463494925537995,25656.53283504091,42008.39645576896
40,11.526983906125338,0.01646964527930163,0.18103027494263565,0.0372225008730882,0.09464160691596162,25342.034497934972,42113.314548264076
41,12.317784053730293,0.016708703928701028,0.20900070414863287,0.04224774389343888,0.0870212473243264,25311.15110937614,42501.84758930629
42,12.387744430590885,0.014500648583245125,0.19454081679554247,0.03885243285231717,0.08235573121969324,24469.7698871146,42079.8827966458
43,12.975815746470914,0.015907320614877343,0.18599157311046674,0.036501860422556584,0.07160504662569586,24770.904399794406,42800.43373892666
44,13.051314514239039,0.012848314860762692,0.20288178663498563,0.04038976332300343,0.08535754039234687,24922.090584327096,43371.03635306039
45,13.397599720691971,0.01462080104765151,0.221205771045437,0.04286954068516221,0.09245291532211274,24445.741465181643,43314.10366351598
46,15.592379558833102,0.013516552773954141,0.20542718467422996,0.04034806998535406,0.11173808449962175,24015.807542948336,43303.58617088373
47,14.654259816096555,0.012096511454147604,0.20147399353403123,0.0385824736425061,0.08925898977105595,23869.142230367925,43576.33728790437
48,13.233760492084855,0.013593198279200155,0.21995548811659119,0.042108875713702955,0.10202975554113085,23676.6011102096,43803.2125973471
49,15.720668890144907,0.01573900060136678,0.24518685374906132,0.04596644676838901,0.0853281284083,23699.37214035251,44245.40005709104
