k,ari,distortion,pca_ari,pca_distortion,ica_ari,ica_distortion,rca_ari,rca_distortion,rf_ari,rf_distortion
20,0.02139459703594702,6069.051527665046,0.023083417464545678,1583.5846533144227,0.026191893959315718,0.7994781996644156,0.00786730439784979,3221.7010854204773,0.031150963051136394,2121.9185841708863
21,0.025728831395633096,5894.837928050274,0.024417596155002184,1541.6561535081476,0.023085202760146015,0.781250767535485,0.007117191311197683,3107.2591196230005,0.03120011572603281,2046.2841496901183
22,0.021758320758545047,5759.1324147444,0.023611023901748757,1488.265432126308,0.02250822051257302,0.7684389657093722,0.007048921922612624,3014.200893465434,0.025619553790391308,2040.292758280125
23,0.02439817315669774,5632.352725959735,0.02448003474229733,1450.188443016576,0.025281681032401488,0.747970043773036,0.006622998752274577,2958.6197256197765,0.028067620861235428,1964.1618811860667
24,0.021988810640084268,5587.232447295591,0.019614282810115277,1424.7521743129687,0.022675027388843513,0.7332916006642314,0.007100796547986,2873.3900914125106,0.025022261004023882,1938.7016463189411
25,0.02120636608302655,5452.839953251118,0.02031055815842282,1373.1069642274574,0.021415571835765916,0.7097449565061322,0.0071932590140407395,2830.9264634043866,0.023590089621104402,1853.6190258546685
26,0.022361465215134248,5395.957806414101,0.01944734341988344,1336.9442295454505,0.022894123464746625,0.6959757604808208,0.006101751320225113,2789.513592987598,0.022615760934783673,1879.3782095613753
27,0.018516218964473925,5297.872584223198,0.017722951881595044,1311.0591013510068,0.01857165587297638,0.6878843654767857,0.005592939235040724,2690.753099093952,0.02126106586267191,1819.3191373915074
28,0.016324599262233185,5257.4378822521985,0.01835910957214899,1253.1844072552854,0.01885869237185376,0.6804426059219982,0.006992738355942538,2608.5169286964983,0.020777717000663044,1769.8319447138774
29,0.019371743328087197,5168.479111323014,0.019129562739877374,1239.9180890233777,0.018729995597039948,0.6646396255972187,0.007363677148198611,2640.5483874876454,0.021384144910496426,1770.8035220424713
30,0.020237470389192772,5110.079510513778,0.01626967071178373,1206.1238189170995,0.017798526504413475,0.6443969195134233,0.007406907145701694,2540.303363917278,0.021634623944782112,1697.7378599393012
31,0.01875998232657008,5073.453127833161,0.015438853484305522,1185.522148328013,0.019181067211094634,0.641426722520622,0.00608553104711279,2511.102018049006,0.022512584322337225,1690.8066654685272
32,0.015303214900296543,4999.779323291441,0.015906411571088828,1170.9186313674425,0.017022696182138503,0.6406426381417851,0.006654441316997082,2453.9552758983655,0.01916154815275808,1674.2621408445043
33,0.019721090358506936,4929.058601926838,0.015419437866300277,1120.7889727553377,0.019477057566261596,0.6186197743399973,0.006997100077070828,2410.3657413680094,0.018736486948319964,1625.475830166789
34,0.016679396922354223,4863.284723193669,0.015108576543654849,1081.3284309606443,0.017257663150627753,0.608244651879636,0.006687822662811506,2406.746833623254,0.01908950017803803,1614.0134011361806
35,0.015459600274685651,4805.757384298003,0.0162181780031031,1086.8664228550006,0.015299167396632798,0.594591843165112,0.0054333444435948975,2328.502822256946,0.0189055106621805,1558.7791070552298
36,0.0158301046404072,4771.148673179823,0.014998194423696893,1064.2839926521565,0.01661920725872965,0.5979260493471427,0.0063758303043819405,2361.489798365664,0.01840945840862598,1543.4316479633687
37,0.015208878524046263,4717.821087956238,0.01542860069958524,1044.6552933499347,0.014193658403727872,0.5872529163568255,0.006095992866636892,2262.7690228229394,0.019004118086417197,1539.089420903354
38,0.013800955380431525,4639.1684103185935,0.01550388850701522,1012.7783235350759,0.014376024455996325,0.5714092490569508,0.005824938589247193,2228.5287653981622,0.01770516761452566,1493.4158106617883
39,0.014468216255158404,4591.480408828482,0.011460747709063947,991.3822600863843,0.014628112119421102,0.5647528170712393,0.006814380802759624,2261.800816463082,0.015387159760486793,1490.8295521324526
40,0.013133725318764913,4617.397495784971,0.011841438672260993,947.2238405829518,0.014802836922100899,0.5508284597266369,0.0063017150821857845,2198.3507654397235,0.01628462872280326,1459.370928663231
41,0.012788295954468377,4478.076373371274,0.01188949917903474,953.4854600728655,0.012902744405671098,0.5494607946930223,0.004245803377844722,2119.117890098375,0.01569479200660724,1456.0146147901014
42,0.012581648521418853,4507.474537306144,0.012433229753835606,951.4369514156076,0.013354231926535629,0.5399064779816536,0.004841742029470958,2188.958297595121,0.016001634418789205,1436.4764885044679
43,0.013707296231028062,4411.121474283834,0.011750799462750225,907.6061776297499,0.014176560235413858,0.5247604880790071,0.005416430032032859,2088.6548713180728,0.014843418554508154,1409.5172645447087
44,0.012053996232763238,4422.992547896491,0.011700774153824471,918.5678887305937,0.012555296888008965,0.5189004084878421,0.005227793457044837,1954.953397154034,0.014296590037523732,1386.3823092321657
45,0.01291873863779437,4384.110850815647,0.011397836690448759,913.6977282653247,0.01225904489864282,0.5128925932573554,0.004992267249796941,2057.239308923605,0.013374116099423263,1376.6969989701893
46,0.013025544397318678,4384.208464399626,0.010730421877036204,879.9547464824336,0.012832344517859452,0.5198214672164964,0.005929021978406307,2013.000849373299,0.013535133769880813,1360.9213183073514
47,0.01247789478425579,4292.260114274861,0.010196570500497897,864.3512067288559,0.012042153076764772,0.5045585408817073,0.005566667217175941,1966.8694827970291,0.013053762521214003,1318.0896924389012
48,0.011552012982252806,4219.331512623766,0.01364153237407916,867.4172675294365,0.012180758000481202,0.4849795624626467,0.005575660127239971,1986.6447218206104,0.014207681691552112,1315.2755254830931
49,0.013684760160816215,4170.124518937045,0.010938015741158756,819.1023287854939,0.011713562503915448,0.4840237137177892,0.00476449869297466,1936.7804542712904,0.013777632473947306,1322.706056715121
