k,ari,distortion,pca_ari,pca_distortion,ica_ari,ica_distortion,rca_ari,rca_distortion,rf_ari,rf_distortion
14,0.025852197824883783,4124.663420383554,0.016112389093568,3076.2401096361673,0.022973619896250214,0.10300839036006303,0.030481819012962198,2430.6572124629356,0.05463172001613187,1693.1574467831106
15,0.0296193492795583,3621.2222719678016,0.021499623001522795,2943.550066489119,0.027018199482652452,0.09455380877658791,0.024479911258380976,2704.767641074592,0.0409981799928329,1551.1591180941427
16,0.0240600385034823,3393.660894705837,0.0245353644517139,2554.7191854832163,0.02507907513446956,0.08146541151620944,0.02929364735890574,2243.701322396218,0.03906679083171378,1463.215801613993
17,0.03142201127326417,3121.2219241249186,0.0264026225421899,2292.1083840362935,0.0238803767766013,0.07365674083562344,0.02129592005993838,2197.2279261607423,0.033122061886953186,1181.484924569724
18,0.02592426661370231,3177.6821970571937,0.020482792783073946,2300.372193341254,0.023904516172086,0.069510033164731,0.024958818200170613,1687.9443737080778,0.031116599613049287,1264.9740465994278
19,0.027873758444620332,2791.835251355509,0.020152924748462437,1992.1667580607057,0.02248850163671453,0.07325412860087419,0.02714970484580777,1643.351865295641,0.03726298335799929,1085.1869765617414
20,0.02507066251328874,2611.5999314688675,0.02259121252095846,1828.354299469076,0.018818743000410053,0.06807600669159387,0.022624399504631784,1627.062256653365,0.029908621608354415,929.9179936136311
21,0.024041389365022967,2310.892937500791,0.019305595087828,1893.7914800807314,0.023519794541662045,0.05824740631917032,0.017927401248647983,1818.8598153021624,0.02799212899689714,1163.099550496145
22,0.024224521955175816,2362.201948207,0.02415285706159918,1661.6348360384786,0.025543422053849973,0.059918122328260624,0.022343621284345572,1451.8680383772103,0.02983049643268517,825.0529017954192
23,0.019458442528489293,2101.8551751915397,0.016889185350770386,1597.2391192058487,0.02078976750518772,0.050872930909265576,0.02267332490099561,1314.0370213752265,0.030714478877523467,795.0843066990251
24,0.02272176494082647,2190.0861858335375,0.0218001147618565,1412.355815473415,0.018784650315810784,0.050859315849954,0.02289917454771008,1299.0401723114844,0.02867395225702546,901.2464612703033
25,0.017514487269313497,2117.64768521962,0.02001583765194622,1438.0954407759232,0.01886441233593399,0.046918753023047904,0.01806197331385812,1143.0536416796874,0.02836741508192511,697.8140251087801
26,0.02216651390543035,1873.4588721595287,0.018652902052665395,1391.3035825769364,0.017120688648493594,0.04500673101414962,0.018905985728982094,1074.0738717146696,0.02620015168045204,574.6408208700725
27,0.021912360855082354,1732.0273777823581,0.023115648159821672,1356.5813489747313,0.017661531101648205,0.044437144231902766,0.020249930168922577,1205.5756614160289,0.02924246866081207,687.662523259903
28,0.01987352384459837,1780.7786010180846,0.018199617670273508,1153.2930422899444,0.018325741894581027,0.043944149193603704,0.018248636734545104,1181.437038522079,0.030090073895745313,736.9276440695097
29,0.02050533475689983,1607.333601702054,0.019587735979101423,1055.4288177647763,0.01714262163593076,0.03725368163963197,0.023033802729556088,1042.9500054703951,0.026643955418531765,615.7277200114495
30,0.016161165375559484,1618.2417441104567,0.020856624166048915,1069.8123839381549,0.01777361052594585,0.036521102004370976,0.015907778996798645,1120.4315241349527,0.025646005797122753,622.4566459666154
31,0.019443133332156214,1610.9575483330566,0.018302497542979735,1131.6099945487513,0.01567800233077582,0.033922071203789636,0.014148900222606326,861.4745040480726,0.025515519345578556,561.2731520608194
